,Latitude,Longitude,Stop Name,Stop Status
1,40.693922,-73.990411,CADMAN PZ W/TILLARY ST,at stop
2,40.686695,-73.965941,GREENE AV/WASHINGTON AV,at stop
3,40.689242,-73.924259,GATES AV/RALPH AV,at stop
4,40.689439,-73.922508,GATES AV/BROADWAY,at stop
5,40.693435,-73.990547,CADMAN PLZ W/MONTAGUE ST,at stop
6,40.693983,-73.917657,GATES AV/CENTRAL AV,at stop
7,40.695363,-73.916303,GATES AV/WILSON AV,approaching
8,40.685668,-73.95658,GATES AV/FRANKLIN AV,approaching
9,40.69514,-73.916522,GATES AV/WILSON AV,approaching
10,40.692297,-73.989475,JORALEMON ST/COURT ST,approaching
11,40.689965,-73.921601,GATES AV/BROADWAY,approaching
12,40.691899,-73.988455,JORALEMON ST/COURT ST,< 1 stop away
13,40.68665,-73.946831,GATES AV/TOMPKINS AV,< 1 stop away
14,40.688283,-73.932645,GATES AV/MALCOLM X BL,< 1 stop away
