,start station id,start station name,start station latitude,start station longitude
0,263,Elizabeth St & Hester St,40.717290000000006,-73.996375
1,495,W 47 St & 10 Ave,40.76269882,-73.99301222
2,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749
3,536,1 Ave & E 30 St,40.74144387,-73.97536082
4,347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001
5,2004,6 Ave & Broome St,40.724399,-74.004704
6,173,Broadway & W 49 St,40.76064679,-73.98442659
7,397,Fulton St & Clermont Ave,40.68415748,-73.96922273
10,307,Canal St & Rutgers St,40.71427487,-73.98990025
11,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783
12,361,Allen St & Hester St,40.71605866,-73.99190759
13,358,Christopher St & Greenwich St,40.73291553,-74.00711384
14,410,Suffolk St & Stanton St,40.72066442,-73.98517977
15,509,9 Ave & W 22 St,40.7454973,-74.00197139
16,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803
17,450,W 49 St & 8 Ave,40.76227205,-73.98788205
18,386,Centre St & Worth St,40.71494807,-74.00234482
19,285,Broadway & E 14 St,40.73454567,-73.99074142
20,479,9 Ave & W 45 St,40.76019252,-73.9912551
21,3133,E 67 St & Lexington Ave,40.76734259143217,-73.96485865116121
25,2021,W 45 St & 8 Ave,40.75929124,-73.98859651
27,488,W 39 St & 9 Ave,40.75645824,-73.99372222
28,316,Fulton St & William St,40.70955958,-74.00653609
29,463,9 Ave & W 16 St,40.74206539,-74.00443172
30,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682
31,317,E 6 St & Avenue B,40.72453734,-73.98185424
32,545,E 23 St & 1 Ave,40.736502,-73.97809472
33,326,E 11 St & 1 Ave,40.72953837,-73.98426726
35,368,Carmine St & 6 Ave,40.73038599,-74.00214988
36,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001
37,442,W 27 St & 7 Ave,40.746646999999996,-73.993915
38,348,W Broadway & Spring St,40.72490985,-74.00154702
41,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
43,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001
44,468,Broadway & W 55 St,40.7652654,-73.98192338
45,528,2 Ave & E 31 St,40.74290902,-73.97706058
47,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392
48,294,Washington Square E,40.73049393,-73.99572140000001
49,296,Division St & Bowery,40.71413089,-73.99704679999999
50,293,Lafayette St & E 8 St,40.73028666,-73.9907647
55,515,W 43 St & 10 Ave,40.76009437,-73.99461843
56,393,E 5 St & Avenue C,40.72299208,-73.97995466
57,477,W 41 St & 8 Ave,40.75640548,-73.9900262
58,382,University Pl & E 14 St,40.73492695,-73.99200509
59,212,W 16 St & The High Line,40.74334935,-74.00681753
61,312,Allen St & E Houston St,40.722055,-73.989111
62,521,8 Ave & W 31 St,40.750967348715974,-73.99444207549095
63,487,E 20 St & FDR Drive,40.73314259,-73.97573881
64,482,W 15 St & 7 Ave,40.73935542,-73.99931783
66,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
67,405,Washington St & Gansevoort St,40.739323,-74.008119
68,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939
69,355,Bayard St & Baxter St,40.71602118,-73.99974372
70,453,W 22 St & 8 Ave,40.74475148,-73.99915362
71,325,E 19 St & 3 Ave,40.73624527,-73.98473765
72,428,E 3 St & 1 Ave,40.72467721,-73.98783413
73,497,E 17 St & Broadway,40.73704984,-73.99009296
74,507,E 25 St & 2 Ave,40.73912601,-73.97973776
75,454,E 51 St & 1 Ave,40.75455731,-73.96592976
76,483,E 12 St & 3 Ave,40.73223272,-73.98889957
77,160,E 37 St & Lexington Ave,40.748238,-73.978311
79,447,8 Ave & W 52 St,40.76370739,-73.9851615
80,3117,Franklin St & Dupont St,40.735640000000004,-73.95866
82,308,St James Pl & Oliver St,40.71307916,-73.99851193
84,280,E 10 St & 5 Ave,40.73331967,-73.99510132
85,480,W 53 St & 10 Ave,40.76669671,-73.99061728
87,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357
88,387,Centre St & Chambers St,40.71273266,-74.0046073
92,517,Pershing Square South,40.751581,-73.97791
93,297,E 15 St & 3 Ave,40.734232,-73.986923
94,498,Broadway & W 32 St,40.74854862,-73.98808416
95,3092,Berry St & N 8 St,40.7190095,-73.95852515
96,423,W 54 St & 9 Ave,40.76584941,-73.98690506
97,335,Washington Pl & Broadway,40.72903917,-73.99404649
100,496,E 16 St & 5 Ave,40.73726186,-73.99238967
101,519,Pershing Square North,40.751872999999996,-73.97770600000001
103,494,W 26 St & 8 Ave,40.74734825,-73.99723551
109,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507
110,527,E 33 St & 2 Ave,40.744023,-73.976056
111,229,Great Jones St,40.72743423,-73.99379025
113,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945
115,336,Sullivan St & Washington Sq,40.73047747,-73.99906065
117,268,Howard St & Centre St,40.71910537,-73.99973337
120,3081,Graham Ave & Grand St,40.711863,-73.944024
122,3055,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916
123,430,York St & Jay St,40.7014851,-73.98656928
127,225,W 14 St & The High Line,40.74195138,-74.00803013
128,3112,Milton St & Franklin St,40.72906,-73.95779
129,127,Barrow St & Hudson St,40.73172428,-74.00674436
131,504,1 Ave & E 15 St,40.73221853,-73.98165557
132,490,8 Ave & W 33 St,40.751551,-73.993934
133,433,E 13 St & Avenue A,40.72955361,-73.98057249
